School,isDrafted,count
East. Kentucky,1,3
East. Kentucky,0,2
East. Michigan,1,2
East. Michigan,0,1
East. Washington,0,5
East. Washington,1,4
Eastern Michigan,0,2
Elon,1,2
Elon,0,1
Fayetteville State University,1,1
Ferris State,0,2
Florida,1,122
Florida,0,45
Florida A&M,0,4
Florida A&M,1,1
Florida Atlantic,1,7
Florida Atlantic,0,6
Florida International,1,8
Florida International,0,1
Florida State,1,120
Florida State,0,46
Fordham,1,3
Fort Hays State,0,2
Fort Hays State,1,1
Fort Valley State,0,2
Fresno State,1,26
Fresno State,0,21
Furman,0,3
Furman,1,3
Georgia,1,134
Georgia,0,37
Georgia Southern,1,5
Georgia State,0,3
Georgia State,1,1
Georgia Tech,1,34
Georgia Tech,0,28
Glenville State,0,1
Grambling State,1,3
Grambling State,0,1
Grand Valley State,0,1
Grand Valley State,1,1
Gustavus Adolphus,1,1
Harding,0,1
Harding,1,1
Hartwick,0,1
Harvard,0,4
Harvard,1,2
Hawaii,1,24
Hawaii,0,13
Hillsdale,0,1
Hillsdale,1,1
Hobart & William Smith,1,1
Hofstra,1,2
Holy Cross,0,2
Houston,1,23
Houston,0,13
Houston Christian University,0,1
Howard,0,2
Howard,1,2
Humboldt State,1,1
Idaho,1,9
Idaho,0,3
Idaho State,0,2
Idaho State,1,2
Illinois,1,39
Illinois,0,23
Illinois State,0,4
Illinois State,1,3
Indiana,0,23
Indiana,1,22
Indiana (PA),0,3
Indiana (PA),1,3
Iowa,1,77
Iowa,0,44
Iowa State,0,20
Iowa State,1,17
Jackson State,0,8
Jackson State,1,3
Jacksonville State,0,4
Jacksonville State,1,2
James Madison,0,2
James Madison,1,2
Kansas,1,18
Kansas,0,15
Kansas State,1,47
Kansas State,0,44
Kent State,1,4
Kent State,0,3
Kentucky,1,40
Kentucky,0,34
Kentucky State,1,1
Kutztown Pennsylvania,1,1
LSU,1,133
LSU,0,50
La-Monroe,0,7
La-Monroe,1,1
Lafayette,0,1
Lane (TN),1,1
Lehigh,0,2
Lehigh,1,1
Lenoir-Rhyne,1,1
Liberty,0,4
Liberty,1,2
Lindenwood,0,1
Lindenwood,1,1
Louisiana,0,4
Louisiana,1,4
Louisiana St,1,1
Louisiana Tech,1,20
Louisiana Tech,0,10
Louisiana-Lafayette,1,4
Louisiana-Lafayette,0,1
Louisville,1,55
Louisville,0,29
Maine,1,4
Malone University (Ohio),0,1
Mars Hill,1,1
Marshall,0,19
Marshall,1,13
Maryland,1,45
Maryland,0,26
Massachusetts,0,5
Massachusetts,1,4
McNeese State,0,3
McNeese State,1,3
Memphis,1,18
Memphis,0,13
Merrimack,0,1
Miami,1,9
Miami,0,8
Miami (FL),1,107
Miami (FL),0,32
Miami (OH),1,10
Miami (OH),0,5
Miami (Ohio),1,1
Michigan,1,104
Michigan,0,33
Michigan State,1,58
Michigan State,0,51
Michigan Tech,1,1
Middle Tenn. State,0,1
Middle Tennessee State,1,3
Middle Tennessee State,0,2
Midwestern State,1,1
Minnesota,1,34
Minnesota,0,16
Minnesota-Morris,0,1
Mississippi,1,51
Mississippi,0,33
Mississippi State,1,52
Mississippi State,0,29
Missouri,1,44
Missouri,0,26
Missouri Southern,1,2
Missouri State,1,2
Missouri State,0,1
Missouri Western,0,1
Missouri Western State,0,3
Missouri Western State,1,1
Monmouth,0,1
Monmouth (NJ),0,1
Montana,1,7
Montana,0,5
Montana State,1,4
Montana State,0,2
Morgan State,1,1
Mount Union,1,2
Murray State,0,1
NW State (LA),1,4
NW State (LA),0,2
Navy,1,2
Navy,0,1
Nebraska,1,71
Nebraska,0,31
Nebraska-Kearney,0,2
Nebraska-Omaha,0,2
Nebraska-Omaha,1,2
Nevada,0,19
Nevada,1,16
New Hampshire,0,2
New Hampshire,1,2
New Mexico,1,16
New Mexico,0,9
New Mexico State,0,3
New Mexico State,1,2
Newberry,1,1
Nicholls State,1,2
Nicholls State,0,1
Norfolk State,0,4
Norfolk State,1,1
North Carolina,1,67
North Carolina,0,24
North Carolina A&T,0,4
North Carolina A&T,1,4
North Carolina Central,1,1
North Carolina State,1,56
North Carolina State,0,15
North Dakota,1,2
North Dakota State,1,11
North Dakota State,0,10
North Texas,0,5
North Texas,1,2
Northeastern (MA),0,2
Northeastern State,0,1
Northern Arizona,0,3
Northern Arizona,1,1
Northern Colorado,1,2
Northern Colorado,0,1
Northern Illinois,1,12
Northern Illinois,0,4
Northern Iowa,0,2
Northern Iowa,1,1
Northwest Missouri State,1,3
Northwest Missouri State,0,1
Northwestern,1,27
Northwestern,0,18
Northwestern State (LA),0,1
Notre Dame,1,108
Notre Dame,0,42
Ohio,1,7
Ohio,0,1
Ohio State,1,148
Ohio State,0,39
Oklahoma,1,106
Oklahoma,0,45
Oklahoma State,1,37
Oklahoma State,0,35
Old Dominion,0,4
Old Dominion,1,2
Oregon,1,76
Oregon,0,42
Oregon State,1,44
Oregon State,0,24
Penn State,1,95
Penn State,0,36
Pittsburg State,1,1
Pittsburgh,1,54
Pittsburgh,0,30
Portland State,0,5
Portland State,1,2
Prairie View,0,1
Presbyterian,1,1
Princeton,0,2
Princeton,1,2
Purdue,1,44
Purdue,0,15
Rhode Island,0,2
Rhode Island,1,1
Rice,1,9
Rice,0,7
Richmond,0,5
Richmond,1,5
Rutgers,1,27
Rutgers,0,8
SE Louisiana,0,3
SE Louisiana,1,2
SMU,1,16
SMU,0,9
Sacramento State,1,1
Saginaw Valley State,0,1
Saginaw Valley State,1,1
Sam Houston State,0,1
Sam Houston State,1,1
Samford,1,4
Samford,0,1
San Diego,1,1
San Diego State,1,31
San Diego State,0,17
San Jose State,0,18
San Jose State,1,13
Shepherd,0,3
Sioux Falls,1,1
Slippery Rock,1,1
South Alabama,0,8
South Alabama,1,3
South Carolina,1,65
South Carolina,0,33
South Carolina State,1,6
South Carolina State,0,2
South Dakota,1,2
South Dakota,0,1
South Dakota State,0,7
South Dakota State,1,2
South Florida,1,22
South Florida,0,16
Southeast Missouri,0,1
Southeast Missouri State,0,1
Southern,0,2
Southern,1,1
Southern Arkansas,0,1
Southern Illinois,1,3
Southern Illinois,0,2
Southern Miss,1,21
Southern Miss,0,10
Southern Mississippi,0,2
Southern Utah,1,3
Southern Utah,0,2
Southern Utah State,1,1
Stanford,1,74
Stanford,0,31
Stephen F. Austin,1,3
Stephen F. Austin,0,1
Stony Brook,0,3
Syracuse,1,33
Syracuse,0,27
TCU,1,49
TCU,0,35
Tarleton State,0,1
Temple,1,23
Temple,0,8
Tenn-Chattanooga,1,4
Tenn-Chattanooga,0,3
Tennessee,1,84
Tennessee,0,38
Tennessee State,0,10
Tennessee State,1,5
Tennessee Tech,0,2
Tennessee Tech,1,1
Tennessee-Chattanooga,0,1
Tennessee-Chattanooga,1,1
Tennessee-Martin,1,1
Texas,1,85
Texas,0,35
Texas A&M,1,71
Texas A&M,0,42
Texas A&M-Commerce,1,1
Texas A&M-Kingsville,0,2
Texas A&M-Kingsville,1,1
Texas College,0,1
Texas Southern,0,1
Texas State,1,4
Texas State,0,3
Texas Tech,1,31
Texas Tech,0,25
Texas-El Paso,1,15
Texas-El Paso,0,11
Texas-San Antonio,1,3
Texas-San Antonio,0,1
Toledo,1,11
Toledo,0,10
Towson,1,2
Towson,0,1
Troy,1,13
Troy,0,10
Tulane,1,19
Tulane,0,9
Tulsa,0,9
Tulsa,1,8
Tusculum,1,1
Tuskegee,0,1
Tuskegee,1,1
UC Davis,0,1
UCF,0,1
UCF,1,1
UCLA,1,68
UCLA,0,24
UNLV,0,11
UNLV,1,9
USC,1,116
USC,0,45
University of Arkansas at Pine Bluff,0,1
Utah,1,58
Utah,0,29
Utah State,1,13
Utah State,0,8
Valdosta State,1,1
Vanderbilt,1,22
Vanderbilt,0,14
Villanova,1,3
Villanova,0,1
Virginia,1,43
Virginia,0,14
Virginia State,0,1
Virginia Tech,1,77
Virginia Tech,0,37
Wagner,1,1
Wake Forest,1,32
Wake Forest,0,13
Washburn,1,1
Washington,1,66
Washington,0,27
Washington State,1,32
Washington State,0,20
Wayne State (MI),0,3
Weber State,0,4
Weber State,1,3
West Georgia,0,2
West Georgia,1,1
West Liberty,0,1
West Texas A&M,0,4
West Texas A&M,1,3
West Virginia,1,44
West Virginia,0,30
West. Carolina,0,1
West. Illinois,0,2
West. Illinois,1,1
West. Michigan,1,10
West. Michigan,0,7
Western Illinois,1,1
Western Kentucky,1,12
Western Kentucky,0,9
Western Michigan,0,3
Western Michigan,1,2
Western Oregon,1,1
Whitworth,1,1
William & Mary,1,4
William & Mary,0,1
Winston-Salem State,0,1
Wisconsin,1,86
Wisconsin,0,37
Wisconsin–Whitewater,1,1
Wyoming,1,11
Wyoming,0,8
Yale,0,2
Yale,1,1
Youngstown State,0,3
Youngstown State,1,2
